Marry a Perfect Man	2012	Wei Na	NULL	NULL	NULL
Big Sky	2015	Frank Grillo	NULL	NULL	[Jesse]
The Academy of Magic	2020	Michael Johnston	NULL	NULL	[Shawn]
The Academy of Magic	2020	Michael Johnston	NULL	NULL	[Shawn]
Overcomer	2019	Cameron Arnett	1960	NULL	[Thomas Hill]
I Cover the Waterfront	1933	Purnell Pratt	1878	1941	[John Phelps]
The Fast Lady	1962	Stanley Baxter	1926	NULL	[Murdoch Troon]
You Only Live Twice	1967	Teru Shimada	1906	1988	[Mr. Osato]
Der Turm der verbotenen Liebe	1968	Armando Francioli	1919	2020	[Orsini]
Sex Thief	1973	David Warbeck	1941	1997	[Grant Henry]
Back to the Beach	1987	Frankie Avalon	1940	NULL	[Annette's Husband]
Dreams	1990	Akira Terao	1947	NULL	[I]
Robin Hood	1991	Danny Webb	1958	NULL	[Much the Miller]
Nowhere to Run	1993	Allan Graf	1949	NULL	[Bus Driver]
The Game	1997	James Rebhorn	1948	2014	[Jim Feingold]
Traffic	2000	Jacob Vargas	1971	NULL	[Manolo Sanchez]
The Great Debaters	2007	Forest Whitaker	1961	NULL	[Dr. James Farmer Sr.]
Attack Force	2006	Danny Webb	1958	NULL	[Werner]
Letters to Juliet	2010	Paolo Arvedi	NULL	NULL	[Signor Ricci (Olive Farmer)]
An American Affair	2008	James Rebhorn	1948	2014	[Lucian Carver]
The Promised Land	2019	Nijirô Murakami	1997	NULL	[Hiro Nogami]
The Butler	2013	Forest Whitaker	1961	NULL	[Cecil Gaines]
Caught in His Web	2022	Darcy Laurie	1966	NULL	[Raymond]
Ace Wonder: Message from a Dead Man	2014	John Robert Moore	NULL	NULL	[John Moore]
Redemption	2013	Danny Webb	1958	NULL	[Damon]
Last Moment of Clarity	2020	Karl E. Landler	NULL	NULL	[Thomas]
Crystal Fairy & the Magical Cactus	2013	Gepe	1981	NULL	[Gepe]
Wish Man	2019	Julian Curtis	NULL	NULL	[Officer Mitch Myers]
Juarez 2045	2017	Natalie Day	NULL	NULL	[Luke Hemsworth]
Viceroy's House	2017	Denzil Smith	1960	NULL	[Muhammad Ali Jinnah]
Zindagi Kitni Haseen Hay	2016	Alyy Khan	1968	NULL	[Zahid]
Man Camp	2019	Scott Kruse	NULL	NULL	[Tim Mann]
Night Comes On	2018	Victor Cruz	1980	NULL	[Defense Attorney]
Night Nurse	1931	Charles Winninger	1884	1969	[Dr. Bell]
The Neanderthal Man	1953	Robert Long	1894	1972	[George Oakes]
The Ancines Woods	1970	John Steiner	1941	2022	[Robert]
Electric Dreams	1984	Harry Rabinowitz	1916	2016	[Conductor]
Cut and Run	1984	John Steiner	1941	2022	[Vlado]
Star Trek IV: The Voyage Home	1986	Walter Koenig	1936	NULL	[Chekov]
All for the Winner	1990	Man-Tat Ng	1951	2021	[Blackie Tat]
The Echo of Thunder	1998	Ben Hanson	NULL	NULL	[Jasper Ritchie]
The Ten	2007	Mather Zickel	1970	NULL	[Louis La Fonda]
Morning Show Mysteries Morning Show Mysteries: Death by Design	2019	Greg Rogers	NULL	NULL	[Maurice]
Zombae	2022	Clint Carmichael	NULL	NULL	[Agent Black]
